"CBSA","CBSA.Code","Year","Days.with.AQI","Good.Days","Moderate.Days","Unhealthy.for.Sensitive.Groups.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days","Max.AQI","X90th.Percentile.AQI","Median.AQI","Days.CO","Days.NO2","Days.Ozone","Days.PM2.5","Days.PM10"
"Houghton, MI",26340,2014,115,112,3,0,0,0,0,61,37,11,0,0,0,115,0
"Houma-Thibodaux, LA",26380,2014,363,310,52,1,0,0,0,105,56,38,0,0,252,111,0
"Houston-The Woodlands-Sugar Land, TX",26420,2014,365,147,204,13,1,0,0,174,84,54,0,18,137,191,19
"Huntington, IN",26540,2014,176,168,8,0,0,0,0,80,46,35,0,0,176,0,0
"Huntington-Ashland, WV-KY-OH",26580,2014,365,234,129,2,0,0,0,115,62,44,0,6,123,236,0
"Huntsville, AL",26620,2014,338,281,57,0,0,0,0,97,58,39,0,0,214,68,56
"Idaho Falls, ID",26820,2014,349,325,24,0,0,0,0,93,49,39,0,0,345,4,0
"Indiana, PA",26860,2014,365,335,28,2,0,0,0,115,50,38,0,0,365,0,0
"Indianapolis-Carmel-Anderson, IN",26900,2014,365,147,210,7,1,0,0,191,78,54,0,6,102,256,1
"Iowa City, IA",26980,2014,364,262,101,1,0,0,0,108,61,35,0,0,0,359,5
"Ithaca, NY",27060,2014,353,334,19,0,0,0,0,80,45,35,0,0,353,0,0
"Jackson, MS",27140,2014,365,180,184,0,1,0,0,153,68,51,0,0,91,274,0
"Jackson, TN",27180,2014,113,95,18,0,0,0,0,79,54,34,0,0,0,113,0
"Jackson, WY-ID",27220,2014,365,320,45,0,0,0,0,97,51,42,0,0,360,4,1
"Jacksonville, FL",27260,2014,365,257,104,4,0,0,0,126,65,43,0,3,185,177,0
"Jamestown-Dunkirk-Fredonia, NY",27460,2014,357,314,41,2,0,0,0,112,54,38,0,0,323,34,0
"Janesville-Beloit, WI",27500,2014,195,162,28,5,0,0,0,119,61,40,0,0,195,0,0
"Jasper, IN",27540,2014,122,84,38,0,0,0,0,96,64,43,0,0,0,122,0
"Jefferson City, MO",27620,2014,213,192,21,0,0,0,0,90,50,39,0,0,213,0,0
"Johnstown, PA",27780,2014,365,225,138,2,0,0,0,108,67,45,0,7,129,228,1
"Joplin, MO",27900,2014,360,283,76,1,0,0,0,103,61,38,0,0,182,0,178
"Juneau, AK",27940,2014,352,285,65,2,0,0,0,129,61,24,0,0,0,346,6
"Kahului-Wailuku-Lahaina, HI",27980,2014,341,332,8,1,0,0,0,136,38,22,0,0,0,341,0
"Kalamazoo-Portage, MI",28020,2014,363,256,105,2,0,0,0,108,64,42,0,0,123,240,0
"Kalispell, MT",28060,2014,365,291,72,2,0,0,0,141,60,38,0,0,196,137,32
"Kansas City, MO-KS",28140,2014,365,153,204,8,0,0,0,120,77,55,0,17,117,216,15
"Kapaa, HI",28180,2014,341,338,3,0,0,0,0,56,31,18,0,51,0,290,0
"Keene, NH",28300,2014,365,271,93,1,0,0,0,115,63,39,0,0,197,168,0
"Kennewick-Richland, WA",28420,2014,364,332,31,1,0,0,0,131,47,22,0,0,0,273,91
"Killeen-Temple, TX",28660,2014,364,305,57,2,0,0,0,112,64,39,0,0,364,0,0
"Kingsport-Bristol-Bristol, TN-VA",28700,2014,365,303,62,0,0,0,0,90,57,38,5,81,213,66,0
"Kingsville, TX",28780,2014,343,277,66,0,0,0,0,99,59,32,0,0,0,343,0
"Kinston, NC",28820,2014,214,177,37,0,0,0,0,93,61,40,0,0,214,0,0
"Klamath Falls, OR",28900,2014,365,269,92,4,0,0,0,136,68,32,0,0,0,365,0
"Knoxville, TN",28940,2014,365,193,170,2,0,0,0,101,66,49,0,0,178,177,10
"Kokomo, IN",29020,2014,261,171,90,0,0,0,0,82,62,43,0,0,0,261,0
"La Crosse-Onalaska, WI-MN",29100,2014,358,310,48,0,0,0,0,98,55,37,0,0,197,161,0
"La Grande, OR",29260,2014,363,289,68,6,0,0,0,140,71,26,0,0,0,361,2
"Laconia, NH",29060,2014,213,205,8,0,0,0,0,90,46,32,0,0,179,34,0
"Lafayette, LA",29180,2014,364,216,148,0,0,0,0,97,64,46,0,0,120,243,1
"Lafayette-West Lafayette, IN",29200,2014,336,228,106,2,0,0,0,128,64,41,0,0,126,210,0
"Lake Charles, LA",29340,2014,365,261,101,3,0,0,0,133,61,41,0,3,186,176,0
"Lake City, FL",29380,2014,338,301,37,0,0,0,0,80,51,34,0,0,299,39,0
"Lake Havasu City-Kingman, AZ",29420,2014,365,356,9,0,0,0,0,77,31,18,0,0,0,19,346
"Lakeland-Winter Haven, FL",29460,2014,364,288,76,0,0,0,0,87,58,40,0,0,185,179,0
"Lancaster, PA",29540,2014,365,125,225,14,1,0,0,154,83,56,0,0,71,294,0
"Lansing-East Lansing, MI",29620,2014,365,265,99,1,0,0,0,112,63,40,0,7,183,175,0
"Laramie, WY",29660,2014,365,282,83,0,0,0,0,93,64,46,0,0,319,6,40
"Laredo, TX",29700,2014,365,257,108,0,0,0,0,82,62,43,3,0,113,247,2
"Las Cruces, NM",29740,2014,365,192,153,13,4,2,1,455,81,50,0,5,218,22,120
"Las Vegas-Henderson-Paradise, NV",29820,2014,365,119,230,14,2,0,0,158,90,58,0,2,239,114,10
"Lawrenceburg, TN",29980,2014,113,97,16,0,0,0,0,74,55,32,0,0,0,113,0
"Lawton, OK",30020,2014,365,257,107,1,0,0,0,105,67,44,0,0,262,103,0
"Lebanon, PA",30140,2014,365,193,164,8,0,0,0,121,76,48,0,0,158,207,0
"Lewiston, ID-WA",30300,2014,290,250,37,3,0,0,0,128,56,25,0,0,0,290,0
"Lewiston-Auburn, ME",30340,2014,347,298,49,0,0,0,0,90,56,38,0,0,174,169,4
