"CBSA","CBSA.Code","Year","Days.with.AQI","Good.Days","Moderate.Days","Unhealthy.for.Sensitive.Groups.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days","Max.AQI","X90th.Percentile.AQI","Median.AQI","Days.CO","Days.NO2","Days.Ozone","Days.PM2.5","Days.PM10"
"Great Falls, MT",24500,2018,360,329,25,5,1,0,0,162,49,25,0,0,0,360,0
"Greeley, CO",24540,2018,365,187,168,10,0,0,0,133,87,50,0,0,264,100,1
"Green Bay, WI",24580,2018,360,283,71,5,1,0,0,151,64,41,0,0,223,137,0
"Greenfield Town, MA",24640,2018,365,325,40,0,0,0,0,100,52,36,0,0,280,85,0
"Greensboro-High Point, NC",24660,2018,357,277,79,1,0,0,0,105,64,41,0,0,224,117,16
"Greenville, NC",24780,2018,345,306,39,0,0,0,0,87,51,35,0,0,189,156,0
"Greenville-Anderson-Mauldin, SC",24860,2018,365,299,66,0,0,0,0,84,57,37,0,24,123,216,2
"Grenada, MS",24980,2018,105,97,8,0,0,0,0,80,48,27,0,0,0,105,0
"Gulfport-Biloxi-Pascagoula, MS",25060,2018,364,278,82,4,0,0,0,115,62,40,0,1,163,200,0
"Hagerstown-Martinsburg, MD-WV",25180,2018,359,285,74,0,0,0,0,93,61,39,0,0,198,161,0
"Hailey, ID",25200,2018,363,327,33,3,0,0,0,143,48,13,0,0,0,363,0
"Hammond, LA",25220,2018,125,110,15,0,0,0,0,78,53,28,0,0,0,125,0
"Hanford-Corcoran, CA",25260,2018,365,89,218,49,9,0,0,180,114,69,0,0,186,123,56
"Harrisburg-Carlisle, PA",25420,2018,365,251,113,1,0,0,0,108,69,42,0,0,159,206,0
"Harrison, AR",25460,2018,364,336,28,0,0,0,0,84,48,35,0,0,352,12,0
"Harrisonburg, VA",25500,2018,365,339,26,0,0,0,0,80,48,32,0,96,229,40,0
"Hartford-West Hartford-East Hartford, CT",25540,2018,365,286,69,10,0,0,0,143,64,39,0,21,216,125,3
"Hattiesburg, MS",25620,2018,359,284,74,1,0,0,0,119,57,37,0,0,0,359,0
"Helena, MT",25740,2018,365,284,71,7,3,0,0,164,66,43,0,0,253,112,0
"Hermiston-Pendleton, OR",25840,2018,333,279,46,5,2,1,0,229,59,32,0,0,94,239,0
"Hickory-Lenoir-Morganton, NC",25860,2018,365,278,87,0,0,0,0,100,61,40,0,0,182,183,0
"Hilo, HI",25900,2018,365,200,151,12,2,0,0,153,87,47,0,0,0,365,0
"Hobbs, NM",26020,2018,365,227,132,6,0,0,0,143,80,45,0,3,302,60,0
"Holland, MI",26090,2018,286,232,46,8,0,0,0,150,64,40,0,0,229,57,0
"Homosassa Springs, FL",26140,2018,350,316,34,0,0,0,0,70,50,32,0,0,0,350,0
"Hot Springs, AR",26300,2018,121,99,22,0,0,0,0,86,54,31,0,0,0,121,0
"Houghton, MI",26340,2018,114,112,2,0,0,0,0,61,28,9,0,0,0,114,0
"Houma-Thibodaux, LA",26380,2018,363,314,49,0,0,0,0,90,54,36,0,0,240,123,0
"Houston-The Woodlands-Sugar Land, TX",26420,2018,365,167,163,26,7,2,0,204,97,51,0,27,153,182,3
"Huntington, IN",26540,2018,358,337,21,0,0,0,0,97,46,31,0,0,358,0,0
"Huntington-Ashland, WV-KY-OH",26580,2018,365,291,72,2,0,0,0,119,58,40,0,2,168,195,0
"Huntsville, AL",26620,2018,365,275,89,1,0,0,0,115,58,41,0,0,130,234,1
"Idaho Falls, ID",26820,2018,365,287,73,4,1,0,0,154,64,43,0,0,266,99,0
"Indiana, PA",26860,2018,355,322,32,1,0,0,0,105,50,35,0,0,355,0,0
"Indianapolis-Carmel-Anderson, IN",26900,2018,365,191,161,12,1,0,0,156,73,50,0,1,151,213,0
"Iowa City, IA",26980,2018,362,287,75,0,0,0,0,92,56,38,0,0,0,362,0
"Ithaca, NY",27060,2018,360,332,27,1,0,0,0,101,47,33,0,0,360,0,0
"Jackson, MS",27140,2018,365,255,109,1,0,0,0,112,67,44,0,0,146,219,0
"Jackson, TN",27180,2018,351,321,30,0,0,0,0,78,49,26,0,0,0,351,0
"Jackson, WY-ID",27220,2018,365,286,78,1,0,0,0,106,61,44,0,0,340,24,1
"Jacksonville, FL",27260,2018,365,270,90,4,1,0,0,155,64,41,0,1,148,201,15
"Jamestown-Dunkirk-Fredonia, NY",27460,2018,358,307,47,4,0,0,0,126,60,36,0,0,336,22,0
"Janesville-Beloit, WI",27500,2018,246,217,28,1,0,0,0,133,54,39,0,0,246,0,0
"Jasper, IN",27540,2018,119,96,23,0,0,0,0,87,58,31,0,0,0,116,3
"Jefferson City, MO",27620,2018,245,210,35,0,0,0,0,90,58,40,0,0,245,0,0
"Johnstown, PA",27780,2018,363,297,66,0,0,0,0,93,55,38,0,4,189,168,2
"Jonesboro, AR",27860,2018,90,71,19,0,0,0,0,72,56,35,0,0,0,90,0
"Joplin, MO",27900,2018,365,304,61,0,0,0,0,95,54,36,0,0,226,0,139
"Juneau, AK",27940,2018,352,306,46,0,0,0,0,83,54,23,0,0,0,348,4
"Kahului-Wailuku-Lahaina, HI",27980,2018,361,357,4,0,0,0,0,73,29,19,0,0,0,361,0
"Kalamazoo-Portage, MI",28020,2018,356,282,70,4,0,0,0,115,61,40,0,0,170,186,0
"Kalispell, MT",28060,2018,365,268,81,11,5,0,0,182,66,41,0,0,186,160,19
"Kansas City, MO-KS",28140,2018,365,211,141,12,1,0,0,172,83,47,0,13,186,159,7
"Kapaa, HI",28180,2018,355,355,0,0,0,0,0,48,29,15,0,166,0,189,0
"Keene, NH",28300,2018,365,334,31,0,0,0,0,84,49,35,0,0,272,93,0
"Kennewick-Richland, WA",28420,2018,365,289,62,12,2,0,0,178,65,34,0,0,126,203,36
"Killeen-Temple, TX",28660,2018,365,320,40,5,0,0,0,136,54,36,0,0,365,0,0
"Kingsport-Bristol-Bristol, TN-VA",28700,2018,364,302,61,1,0,0,0,105,58,40,0,0,210,154,0
"Kingsville, TX",28780,2018,342,243,95,3,1,0,0,160,65,35,0,0,0,342,0
"Kinston, NC",28820,2018,278,249,28,1,0,0,0,108,51,36,0,0,222,0,56
"Klamath Falls, OR",28900,2018,360,216,104,12,25,3,0,225,114,37,0,0,0,360,0
"Knoxville, TN",28940,2018,365,240,123,2,0,0,0,133,67,45,0,0,216,149,0
"Kokomo, IN",29020,2018,365,293,67,5,0,0,0,108,58,39,0,0,214,151,0
"La Crosse-Onalaska, WI-MN",29100,2018,365,300,65,0,0,0,0,97,59,39,0,0,186,179,0
"La Grande, OR",29260,2018,362,320,36,5,1,0,0,181,54,24,0,0,0,356,6
"Laconia, NH",29060,2018,283,269,14,0,0,0,0,80,47,32,0,0,206,77,0
"Lafayette, LA",29180,2018,365,266,99,0,0,0,0,97,62,41,0,0,203,162,0
"Lafayette-West Lafayette, IN",29200,2018,365,286,76,3,0,0,0,115,56,40,0,0,199,166,0
"Lake Charles, LA",29340,2018,365,238,121,6,0,0,0,108,67,44,0,4,115,246,0
"Lake City, FL",29380,2018,359,315,43,1,0,0,0,111,53,34,0,0,218,141,0
"Lake Havasu City-Kingman, AZ",29420,2018,363,350,12,1,0,0,0,105,33,18,0,0,0,33,330
"Lakeland-Winter Haven, FL",29460,2018,365,324,39,2,0,0,0,112,51,35,0,0,276,89,0
"Lancaster, PA",29540,2018,365,246,114,5,0,0,0,126,74,44,0,0,183,182,0
"Lansing-East Lansing, MI",29620,2018,365,296,65,4,0,0,0,147,59,39,0,0,230,135,0
"Laramie, WY",29660,2018,365,223,139,3,0,0,0,115,74,48,0,1,296,8,60
"Laredo, TX",29700,2018,313,237,74,2,0,0,0,107,64,39,0,0,150,161,2
"Las Cruces, NM",29740,2018,365,144,189,28,4,0,0,187,100,57,0,3,258,50,54
"Las Vegas-Henderson-Paradise, NV",29820,2018,365,122,194,48,1,0,0,154,108,61,0,50,226,76,13
"Lawrenceburg, TN",29980,2018,352,328,24,0,0,0,0,66,47,27,0,0,0,352,0
"Lawton, OK",30020,2018,365,275,86,4,0,0,0,122,67,40,0,0,298,67,0
"Lebanon, PA",30140,2018,365,260,103,2,0,0,0,101,64,39,0,0,187,178,0
"Lewiston, ID-WA",30300,2018,365,290,67,6,2,0,0,187,70,26,0,0,0,365,0
"Lewiston-Auburn, ME",30340,2018,361,336,25,0,0,0,0,84,47,31,0,0,190,169,2
"Lexington-Fayette, KY",30460,2018,364,265,99,0,0,0,0,90,61,40,0,13,124,226,1
"Lima, OH",30620,2018,356,295,56,5,0,0,0,119,59,39,0,0,215,141,0
"Lincoln, NE",30700,2018,289,254,35,0,0,0,0,78,54,35,0,0,229,60,0
"Little Rock-North Little Rock-Conway, AR",30780,2018,365,257,106,2,0,0,0,122,64,43,0,1,146,218,0
"Logan, UT-ID",30860,2018,365,235,122,8,0,0,0,133,77,46,0,0,263,102,0
"Longview, TX",30980,2018,364,329,35,0,0,0,0,97,50,32,0,3,361,0,0
"Longview, WA",31020,2018,365,338,23,2,2,0,0,152,45,20,0,0,0,365,0
"Los Alamos, NM",31060,2018,120,120,0,0,0,0,0,33,23,10,0,0,0,120,0
"Los Angeles-Long Beach-Anaheim, CA",31080,2018,365,35,220,90,19,1,0,201,133,78,0,31,178,153,3
"Louisville/Jefferson County, KY-IN",31140,2018,365,205,149,9,2,0,0,166,77,48,0,16,154,195,0
"Lubbock, TX",31180,2018,303,275,27,1,0,0,0,134,49,25,0,0,0,303,0
"Ludington, MI",31220,2018,252,226,25,1,0,0,0,133,51,37,0,0,252,0,0
"Lynchburg, VA",31340,2018,112,106,6,0,0,0,0,55,46,26,0,0,0,112,0
"Macon, GA",31420,2018,362,308,53,1,0,0,0,106,56,35,0,0,168,194,0
"Madera, CA",31460,2018,365,152,178,30,5,0,0,165,100,56,0,0,210,120,35
"Madison, WI",31540,2018,365,271,92,2,0,0,0,122,64,42,0,0,182,182,1
"Manchester-Nashua, NH",31700,2018,365,338,27,0,0,0,0,97,49,36,1,0,350,14,0
"Manitowoc, WI",31820,2018,239,202,30,5,2,0,0,169,64,40,0,0,239,0,0
"Marietta, OH",31930,2018,245,216,26,3,0,0,0,105,54,39,0,0,245,0,0
"Marshall, MN",32140,2018,365,332,33,0,0,0,0,84,50,32,0,0,166,199,0
"Marshall, TX",32220,2018,364,305,58,1,0,0,0,111,54,35,0,1,209,154,0
"Mason City, IA",32380,2018,115,115,0,0,0,0,0,46,31,16,0,0,0,0,115
"McAlester, OK",32540,2018,363,289,73,1,0,0,0,108,66,40,0,0,218,145,0
"McAllen-Edinburg-Mission, TX",32580,2018,363,238,121,4,0,0,0,115,67,41,0,0,114,249,0
"Medford, OR",32780,2018,364,235,87,11,27,4,0,233,121,42,0,0,85,279,0
"Memphis, TN-MS-AR",32820,2018,365,242,112,10,1,0,0,159,71,44,0,8,188,169,0
"Merced, CA",32900,2018,365,173,151,32,9,0,0,171,101,51,0,1,196,167,1
"Meridian, MS",32940,2018,230,200,30,0,0,0,0,87,54,37,0,0,230,0,0
"Miami, OK",33060,2018,365,252,112,1,0,0,0,107,62,44,0,0,139,224,2
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,2018,365,264,97,4,0,0,0,126,63,43,0,15,122,218,10
"Michigan City-La Porte, IN",33140,2018,363,305,51,6,1,0,0,161,61,36,0,0,335,28,0
"Middlesborough, KY",33180,2018,256,231,25,0,0,0,0,84,50,39,0,0,226,30,0
"Milwaukee-Waukesha-West Allis, WI",33340,2018,365,236,120,7,2,0,0,169,74,44,0,12,190,163,0
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,2018,365,173,187,5,0,0,0,122,75,51,4,7,103,150,101
"Minot, ND",33500,2018,360,328,29,3,0,0,0,112,49,31,0,0,224,124,12
"Missoula, MT",33540,2018,365,198,163,3,1,0,0,153,78,48,0,0,102,260,3
"Mobile, AL",33660,2018,359,284,74,1,0,0,0,105,57,38,0,0,150,209,0
"Modesto, CA",33700,2018,365,157,161,32,14,1,0,240,108,54,0,2,203,151,9
"Monroe, LA",33740,2018,363,338,25,0,0,0,0,100,46,32,0,0,313,50,0
"Monroe, MI",33780,2018,61,60,1,0,0,0,0,59,31,13,0,0,0,0,61
"Montgomery, AL",33860,2018,326,150,176,0,0,0,0,93,66,52,0,0,49,277,0
"Montrose, CO",33940,2018,326,257,68,1,0,0,0,122,64,42,0,0,326,0,0
"Morehead City, NC",33980,2018,222,202,20,0,0,0,0,77,49,38,0,0,222,0,0
"Morgantown, WV",34060,2018,278,248,30,0,0,0,0,93,54,37,0,0,227,51,0
"Morristown, TN",34100,2018,244,202,42,0,0,0,0,100,61,42,0,0,244,0,0
"Moscow, ID",34140,2018,365,339,20,5,1,0,0,176,40,10,0,0,0,365,0
"Moses Lake, WA",34180,2018,365,307,47,4,6,1,0,248,59,20,0,30,0,335,0
"Mount Vernon, IL",34500,2018,362,284,75,3,0,0,0,105,59,40,0,0,170,192,0
"Mount Vernon, OH",34540,2018,245,208,36,1,0,0,0,115,64,40,0,0,245,0,0
"Mount Vernon-Anacortes, WA",34580,2018,365,341,16,5,3,0,0,180,42,29,0,6,195,164,0
"Muncie, IN",34620,2018,361,320,37,4,0,0,0,129,54,35,0,0,317,44,0
"Muscatine, IA",34700,2018,365,249,116,0,0,0,0,95,62,41,0,0,0,364,1
"Muskegon, MI",34740,2018,240,203,31,3,3,0,0,174,67,40,0,0,240,0,0
"Muskogee, OK",34780,2018,347,315,30,1,1,0,0,196,49,19,0,0,0,0,347
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",34820,2018,180,164,16,0,0,0,0,87,50,37,0,0,180,0,0
"Napa, CA",34900,2018,364,273,79,4,8,0,0,183,61,39,1,1,165,196,1
"Naples-Immokalee-Marco Island, FL",34940,2018,365,320,45,0,0,0,0,80,54,36,0,0,246,119,0
"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,2018,365,247,111,6,1,0,0,151,67,43,0,17,148,200,0
"New Castle, IN",35220,2018,116,100,15,1,0,0,0,111,55,31,0,0,0,116,0
"New Castle, PA",35260,2018,358,329,29,0,0,0,0,97,50,32,0,0,358,0,0
"New Haven-Milford, CT",35300,2018,365,276,75,12,2,0,0,156,68,40,0,29,205,131,0
"New Orleans-Metairie, LA",35380,2018,365,235,125,5,0,0,0,112,68,44,0,5,157,203,0
"New York-Newark-Jersey City, NY-NJ-PA",35620,2018,365,156,182,24,2,1,0,210,93,53,0,43,130,192,0
"Niles-Benton Harbor, MI",35660,2018,245,208,29,8,0,0,0,126,61,40,0,0,245,0,0
"Nogales, AZ",35700,2018,365,294,69,1,1,0,0,183,59,31,0,0,0,220,145
"North Port-Sarasota-Bradenton, FL",35840,2018,365,300,63,2,0,0,0,119,56,38,0,0,242,123,0
"Norwich-New London, CT",35980,2018,315,284,25,6,0,0,0,140,50,35,0,0,189,126,0
"Ocala, FL",36100,2018,365,325,40,0,0,0,0,90,51,35,0,0,229,136,0
"Odessa, TX",36220,2018,337,296,41,0,0,0,0,91,53,30,0,0,0,337,0
"Ogden-Clearfield, UT",36260,2018,365,184,157,21,3,0,0,157,97,50,0,36,245,76,8
"Oklahoma City, OK",36420,2018,365,212,141,12,0,0,0,150,77,47,0,6,182,173,4
"Olympia-Tumwater, WA",36500,2018,343,305,32,1,5,0,0,173,53,26,0,0,133,210,0
"Omaha-Council Bluffs, NE-IA",36540,2018,365,234,126,5,0,0,0,108,67,45,0,0,148,203,14
"Orlando-Kissimmee-Sanford, FL",36740,2018,365,309,53,2,1,0,0,151,61,38,0,0,297,68,0
"Othello, WA",36830,2018,350,313,29,4,4,0,0,183,52,13,0,0,0,350,0
"Owensboro, KY",36980,2018,357,270,86,1,0,0,0,112,59,40,0,19,157,181,0
"Oxford, NC",37080,2018,233,193,40,0,0,0,0,93,61,42,0,0,233,0,0
"Oxnard-Thousand Oaks-Ventura, CA",37100,2018,365,174,174,16,1,0,0,166,87,52,0,2,213,138,12
"Paducah, KY-IL",37140,2018,365,244,121,0,0,0,0,100,61,43,0,1,151,213,0
"Pahrump, NV",37220,2018,365,350,15,0,0,0,0,99,32,18,0,0,0,0,365
"Palatka, FL",37260,2018,302,301,1,0,0,0,0,51,23,14,0,0,0,0,302
"Palm Bay-Melbourne-Titusville, FL",37340,2018,365,330,34,1,0,0,0,129,50,37,0,0,284,81,0
"Panama City, FL",37460,2018,323,272,50,1,0,0,0,126,54,37,0,0,189,134,0
"Parkersburg-Vienna, WV",37620,2018,285,264,21,0,0,0,0,77,48,36,0,0,221,64,0
"Payson, AZ",37740,2018,365,220,122,22,1,0,0,171,87,47,0,0,329,0,36
"Pensacola-Ferry Pass-Brent, FL",37860,2018,365,295,70,0,0,0,0,93,58,39,0,0,252,113,0
"Peoria, IL",37900,2018,365,255,107,3,0,0,0,101,64,43,0,0,192,173,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,2018,365,132,214,16,3,0,0,164,87,55,0,3,103,259,0
"Phoenix-Mesa-Scottsdale, AZ",38060,2018,365,42,238,66,7,4,8,996,126,77,0,10,144,58,153
"Pierre, SD",38180,2018,354,339,14,1,0,0,0,108,32,13,0,0,0,354,0
"Pittsburgh, PA",38300,2018,365,137,213,14,1,0,0,154,85,55,0,1,102,262,0
"Pittsfield, MA",38340,2018,365,284,80,1,0,0,0,122,58,33,0,0,80,285,0
"Platteville, WI",38420,2018,351,296,55,0,0,0,0,81,55,31,0,0,0,351,0
"Pocatello, ID",38540,2018,365,317,44,2,2,0,0,174,55,23,0,0,0,245,120
"Ponca City, OK",38620,2018,365,276,87,2,0,0,0,114,60,41,0,0,125,240,0
"Ponce, PR",38660,2018,357,179,173,5,0,0,0,118,71,50,8,0,0,302,47
"Port Angeles, WA",38820,2018,365,297,60,3,4,1,0,205,55,38,0,0,182,183,0
"Port St. Lucie, FL",38940,2018,365,328,36,1,0,0,0,112,51,37,0,0,251,114,0
"Portland-South Portland, ME",38860,2018,365,311,52,2,0,0,0,119,54,39,0,13,256,94,2
"Portland-Vancouver-Hillsboro, OR-WA",38900,2018,365,274,80,9,2,0,0,165,70,38,0,12,180,173,0
"Portsmouth, OH",39020,2018,365,355,10,0,0,0,0,82,33,13,0,0,0,114,251
"Prescott, AZ",39140,2018,365,292,72,1,0,0,0,101,61,43,0,0,363,2,0
"Price, UT",39220,2018,364,231,128,5,0,0,0,115,77,46,0,3,361,0,0
"Prineville, OR",39260,2018,363,287,69,5,2,0,0,164,66,25,0,0,0,363,0
"Providence-Warwick, RI-MA",39300,2018,365,265,87,13,0,0,0,147,67,44,0,10,211,143,1
"Provo-Orem, UT",39340,2018,365,218,115,25,7,0,0,162,93,46,0,19,269,74,3
"Pueblo, CO",39380,2018,123,117,5,1,0,0,0,101,39,23,0,0,0,84,39
"Pullman, WA",39420,2018,365,325,33,5,2,0,0,177,52,17,0,0,0,365,0
"Quincy, IL-MO",39500,2018,245,228,17,0,0,0,0,87,49,35,0,0,245,0,0
"Racine, WI",39540,2018,236,187,38,9,2,0,0,161,77,42,0,0,236,0,0
"Raleigh, NC",39580,2018,361,240,121,0,0,0,0,90,63,45,1,0,149,211,0
"Rapid City, SD",39660,2018,365,258,105,2,0,0,0,118,63,44,0,0,258,39,68
"Reading, PA",39740,2018,365,270,90,5,0,0,0,117,67,40,0,0,239,126,0
"Red Bluff, CA",39780,2018,365,226,110,16,13,0,0,190,95,45,0,0,239,126,0
"Red Wing, MN",39860,2018,231,206,24,1,0,0,0,133,51,38,0,0,231,0,0
"Redding, CA",39820,2018,365,277,67,15,6,0,0,190,82,43,0,0,343,21,1
"Reno, NV",39900,2018,365,213,133,19,0,0,0,146,80,48,0,8,281,59,17
"Richmond, VA",40060,2018,365,280,83,2,0,0,0,147,64,41,0,8,219,138,0
"Riverside-San Bernardino-Ontario, CA",40140,2018,365,25,167,107,53,13,0,296,166,97,0,14,207,111,33
"Riverton, WY",40180,2018,365,255,110,0,0,0,0,97,64,46,0,0,331,34,0
"Roanoke, VA",40220,2018,365,320,45,0,0,0,0,87,53,37,0,15,186,164,0
"Rochester, MN",40340,2018,361,292,69,0,0,0,0,98,57,38,0,0,148,213,0
"Rochester, NY",40380,2018,365,296,65,4,0,0,0,115,60,38,0,1,229,135,0
"Rock Springs, WY",40540,2018,365,210,147,7,1,0,0,163,74,48,0,3,293,5,64
"Rockford, IL",40420,2018,362,316,43,2,1,0,0,151,54,35,0,0,346,16,0
"Rockland, ME",40500,2018,219,209,9,1,0,0,0,112,45,36,0,0,219,0,0
"Rocky Mount, NC",40580,2018,354,321,33,0,0,0,0,80,50,33,0,0,187,167,0
"Rome, GA",40660,2018,333,226,107,0,0,0,0,80,60,40,0,0,0,333,0
"Roseburg, OR",40700,2018,336,292,42,2,0,0,0,135,56,22,0,0,0,336,0
"Roswell, NM",40740,2018,118,115,3,0,0,0,0,57,40,21,0,0,0,118,0
"Ruidoso, NM",40760,2018,116,115,1,0,0,0,0,52,23,11,0,0,0,116,0
"Rutland, VT",40860,2018,365,306,59,0,0,0,0,90,57,37,1,1,238,125,0
"Sacramento--Roseville--Arden-Arcade, CA",40900,2018,365,130,178,36,15,5,1,314,122,60,0,0,231,131,3
"Salem, OH",41400,2018,63,63,0,0,0,0,0,30,21,12,0,0,0,0,63
"Salem, OR",41420,2018,361,304,51,6,0,0,0,125,58,32,0,0,139,222,0
"Salinas, CA",41500,2018,365,319,39,5,2,0,0,155,52,38,0,1,212,93,59
"Salisbury, MD-DE",41540,2018,365,295,66,4,0,0,0,140,58,40,0,0,295,70,0
"Salt Lake City, UT",41620,2018,365,138,184,41,2,0,0,169,105,61,0,48,236,78,3
"San Antonio-New Braunfels, TX",41700,2018,365,252,102,10,1,0,0,162,70,43,0,6,201,157,1
"San Diego-Carlsbad, CA",41740,2018,365,73,257,35,0,0,0,143,100,64,0,1,202,162,0
"San Francisco-Oakland-Hayward, CA",41860,2018,365,147,199,7,9,3,0,245,80,53,0,14,61,290,0
"San Jose-Sunnyvale-Santa Clara, CA",41940,2018,365,216,131,7,11,0,0,194,74,47,0,1,193,171,0
"San Juan-Carolina-Caguas, PR",41980,2018,364,207,143,7,7,0,0,169,76,48,12,1,19,331,1
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,2018,365,202,154,9,0,0,0,133,74,49,0,0,234,92,39
"Sandpoint, ID",41760,2018,363,308,39,11,4,1,0,245,60,29,0,0,0,318,45
"Sanford, NC",41820,2018,210,145,65,0,0,0,0,83,59,45,0,0,127,83,0
"Santa Cruz-Watsonville, CA",42100,2018,365,331,24,5,5,0,0,170,50,36,0,0,221,144,0
"Santa Fe, NM",42140,2018,365,279,83,3,0,0,0,122,67,44,0,0,353,12,0
"Santa Maria-Santa Barbara, CA",42200,2018,365,244,119,2,0,0,0,114,64,47,0,0,266,86,13
"Santa Rosa, CA",42220,2018,365,325,27,3,8,2,0,226,52,36,0,2,280,82,1
"Sault Ste. Marie, MI",42300,2018,271,229,42,0,0,0,0,70,54,34,0,0,111,160,0
"Savannah, GA",42340,2018,363,315,48,0,0,0,0,74,53,36,0,0,113,250,0
"Sayre, PA",42380,2018,356,310,46,0,0,0,0,97,53,35,0,2,246,108,0
"Scottsbluff, NE",42420,2018,116,108,8,0,0,0,0,71,45,22,0,0,0,116,0
"Scranton--Wilkes-Barre--Hazleton, PA",42540,2018,365,300,64,1,0,0,0,101,61,38,0,15,220,130,0
"Seattle-Tacoma-Bellevue, WA",42660,2018,365,239,110,9,7,0,0,192,83,44,0,35,193,137,0
"Sebastian-Vero Beach, FL",42680,2018,356,325,30,1,0,0,0,101,49,36,0,0,356,0,0
"Sebring, FL",42700,2018,351,337,13,1,0,0,0,108,47,31,0,0,351,0,0
"Seneca, SC",42860,2018,348,307,41,0,0,0,0,97,51,31,0,0,167,181,0
"Sevierville, TN",42940,2018,364,306,54,4,0,0,0,115,64,43,0,0,364,0,0
"Seymour, IN",42980,2018,341,321,20,0,0,0,0,90,47,32,0,0,341,0,0
"Sheboygan, WI",43100,2018,239,186,42,9,2,0,0,185,84,43,0,0,239,0,0
"Shelton, WA",43220,2018,365,331,28,4,2,0,0,164,49,21,0,0,0,365,0
"Sheridan, WY",43260,2018,365,260,102,3,0,0,0,123,67,45,0,0,303,57,5
"Show Low, AZ",43320,2018,363,261,100,2,0,0,0,115,74,44,0,0,353,2,8
"Shreveport-Bossier City, LA",43340,2018,365,279,84,2,0,0,0,128,65,40,0,0,262,103,0
"Sierra Vista-Douglas, AZ",43420,2018,365,276,89,0,0,0,0,90,63,44,0,0,313,18,34
"Sioux City, IA-NE-SD",43580,2018,365,284,78,3,0,0,0,112,62,41,0,0,227,105,33
"Sioux Falls, SD",43620,2018,365,309,53,3,0,0,0,115,59,37,0,11,269,82,3
"Somerset, KY",43700,2018,282,243,39,0,0,0,0,74,54,38,0,0,218,64,0
"Somerset, PA",43740,2018,357,330,27,0,0,0,0,90,47,33,0,0,357,0,0
"Sonora, CA",43760,2018,348,254,73,20,1,0,0,154,80,43,0,0,348,0,0
"South Bend-Mishawaka, IN-MI",43780,2018,365,244,113,8,0,0,0,133,66,43,0,3,185,177,0
"Spartanburg, SC",43900,2018,365,298,67,0,0,0,0,77,55,38,0,0,105,260,0
"Spokane-Spokane Valley, WA",44060,2018,365,224,121,9,10,1,0,257,77,44,0,0,106,218,41
"Springfield, IL",44100,2018,363,253,109,1,0,0,0,122,63,43,0,0,197,166,0
"Springfield, MA",44140,2018,365,277,85,3,0,0,0,126,61,40,0,2,235,128,0
"Springfield, MO",44180,2018,365,294,71,0,0,0,0,93,56,39,0,0,198,161,6
"Springfield, OH",44220,2018,362,237,121,4,0,0,0,140,67,44,0,0,160,202,0
"St. Cloud, MN",41060,2018,365,309,55,1,0,0,0,101,56,34,0,0,186,179,0
"St. George, UT",41100,2018,365,228,136,1,0,0,0,108,74,44,0,1,332,32,0
"St. Joseph, MO-KS",41140,2018,365,251,113,1,0,0,0,112,67,43,0,0,167,173,25
"St. Louis, MO-IL",41180,2018,365,159,187,17,2,0,0,182,87,53,0,10,131,212,12
"St. Marys, PA",41260,2018,351,325,26,0,0,0,0,97,48,34,0,0,351,0,0
"State College, PA",44300,2018,365,286,77,2,0,0,0,122,61,40,0,1,225,139,0
"Steamboat Springs, CO",44460,2018,355,354,1,0,0,0,0,51,30,15,0,0,0,0,355
"Stockton-Lodi, CA",44700,2018,365,152,180,20,10,2,1,308,99,54,0,1,154,204,6
"Summerville, GA",44900,2018,245,224,21,0,0,0,0,87,50,35,0,0,245,0,0
"Syracuse, NY",45060,2018,365,318,45,2,0,0,0,115,58,36,0,0,322,43,0
"Tallahassee, FL",45220,2018,358,272,86,0,0,0,0,98,60,38,1,0,149,208,0
"Tampa-St. Petersburg-Clearwater, FL",45300,2018,365,247,113,5,0,0,0,129,64,43,0,0,191,170,4
"Taos, NM",45340,2018,365,346,19,0,0,0,0,66,41,23,0,0,0,365,0
"Terre Haute, IN",45460,2018,365,242,120,3,0,0,0,115,64,43,0,0,191,174,0
"Texarkana, TX-AR",45500,2018,297,246,50,1,0,0,0,106,56,35,0,0,0,297,0
"The Dalles, OR",45520,2018,334,294,35,4,1,0,0,154,53,30,0,0,76,253,5
"Toledo, OH",45780,2018,348,258,80,9,1,0,0,151,64,42,0,0,200,148,0
"Topeka, KS",45820,2018,365,272,93,0,0,0,0,99,63,42,0,0,181,184,0
"Torrington, CT",45860,2018,363,319,40,4,0,0,0,133,53,36,2,0,327,34,0
"Traverse City, MI",45900,2018,250,218,30,1,1,0,0,154,54,38,0,0,250,0,0
"Trenton, NJ",45940,2018,365,283,75,6,1,0,0,187,64,40,0,0,234,131,0
"Truckee-Grass Valley, CA",46020,2018,363,245,90,19,9,0,0,196,87,44,0,0,327,36,0
"Tucson, AZ",46060,2018,365,196,158,11,0,0,0,129,84,49,0,0,255,31,79
